code,name,market,big_theme,primary_theme,secondary_theme_1,secondary_theme_2,secondary_theme_3,industry,legacy_theme_count,legacy_theme_all,event_theme_all,classification_source,confidence
479960,위너스일렉,KOSDAQ,2차전지·전기차,전기차(충전소/충전기),전력설비,스마트홈(홈네트워크),,전기장비,3,스마트홈(홈네트워크) | 전기차(충전소/충전기) | 전력설비,,legacy_theme,높음
069140,누리플랜,KOSDAQ,건설·인프라,DMZ 평화공원,황사/미세먼지,,,건설,2,DMZ 평화공원 | 황사/미세먼지,,legacy_theme,높음
011370,서한,KOSDAQ,건설·인프라,GTX(수도권 광역급행철도),건설 중소형,철도,폐기물처리,건설,4,GTX(수도권 광역급행철도) | 건설 중소형 | 철도 | 폐기물처리,,legacy_theme,높음
017480,삼현철강,KOSDAQ,건설·인프라,GTX(수도권 광역급행철도),철강 중소형,철도,남-북-러 가스관사업,철강,4,GTX(수도권 광역급행철도) | 남-북-러 가스관사업 | 철강 중소형 | 철도,,legacy_theme,높음
017510,세명전기,KOSDAQ,건설·인프라,GTX(수도권 광역급행철도),전력설비,철도,해저터널(지하화/지하도로 등),전기장비,4,GTX(수도권 광역급행철도) | 전력설비 | 철도 | 해저터널(지하화/지하도로 등),,legacy_theme,높음
026150,특수건설,KOSDAQ,건설·인프라,GTX(수도권 광역급행철도),철도,해저터널(지하화/지하도로 등),,건설,3,GTX(수도권 광역급행철도) | 철도 | 해저터널(지하화/지하도로 등),,legacy_theme,높음
039980,폴라리스AI,KOSDAQ,건설·인프라,GTX(수도권 광역급행철도),AI 챗봇(챗GPT 등),철도,전후 재건(우크라/중동 전쟁 등),IT서비스,6,AI 챗봇(챗GPT 등) | GTX(수도권 광역급행철도) | 재난/안전(지진/화재 등) | 전후 재건(우크라/중동 전쟁 등) | 철도 | 패션/의류,재난/안전(지진/화재 등),legacy_theme,높음
045390,대아티아이,KOSDAQ,건설·인프라,GTX(수도권 광역급행철도),철도,,,도로와철도운송,2,GTX(수도권 광역급행철도) | 철도,,legacy_theme,높음
046940,우원개발,KOSDAQ,건설·인프라,GTX(수도권 광역급행철도),건설 중소형,철도,해저터널(지하화/지하도로 등),건설,4,GTX(수도권 광역급행철도) | 건설 중소형 | 철도 | 해저터널(지하화/지하도로 등),,legacy_theme,높음
054930,유신,KOSDAQ,건설·인프라,GTX(수도권 광역급행철도),철도,수자원(양적/질적 개선),전후 재건(우크라/중동 전쟁 등),건설,4,GTX(수도권 광역급행철도) | 수자원(양적/질적 개선) | 전후 재건(우크라/중동 전쟁 등) | 철도,,legacy_theme,높음
002290,삼일기업공사,KOSDAQ,건설·인프라,건설 중소형,,,,건설,1,건설 중소형,,legacy_theme,높음
007680,대원,KOSDAQ,건설·인프라,건설 중소형,,,,건설,1,건설 중소형,,legacy_theme,높음
013120,동원개발,KOSDAQ,건설·인프라,건설 중소형,,,,건설,1,건설 중소형,,legacy_theme,높음
016250,SGC E&C,KOSDAQ,건설·인프라,건설 중소형,,,,건설,1,건설 중소형,,legacy_theme,높음
